State,County,Agency Name,Ori,Division Name,Region Name,Region Description,Agency Type Name,NIBRS,NIBRS Start Date,Latitude,Longitude
Alaska,ANCHORAGE,Anchorage Police Department,AK0010100,Pacific,West,Region IV,City,FALSE,,61.17425,-149.284329
Alaska,FAIRBANKS NORTH STAR,Fairbanks Police Department,AK0010200,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,64.83945,-147.71942
Alaska,JUNEAU,Juneau Police Department,AK0010300,Pacific,West,Region IV,City,FALSE,,58.356556,-134.50731
Alaska,KETCHIKAN GATEWAY,Ketchikan Police Department,AK0010400,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,55.449938,-131.106685
Alaska,KODIAK ISLAND,Kodiak Police Department,AK0010500,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,57.8049,-152.37332
Alaska,NOME,Nome Police Department,AK0010600,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,64.783686,-164.188912
Alaska,PETERSBURG,Petersburg Police Department,AK0010700,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,55.415683,-132.875734
Alaska,KENAI PENINSULA,Seward Police Department,AK0010800,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,60.366668,-152.322283
Alaska,SITKA,Sitka Police Department,AK0010900,Pacific,West,Region IV,City,FALSE,,57.052124,-135.33418
Alaska,SKAGWAY,Skagway Police Department,AK0011000,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,59.575097,-135.335418
Alaska,WRANGELL,Wrangell Police Department,AK0011100,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,56.279121,-132.040325
Alaska,VALDEZ-CORDOVA,Valdez Police Department,AK0011200,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,61.34984,-145.023141
Alaska,BETHEL,Bethel Police Department,AK0011300,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,60.928916,-160.15335
Alaska,VALDEZ-CORDOVA,Cordova Police Department,AK0011400,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,61.34984,-145.023141
Alaska,NORTHWEST ARCTIC,Kotzebue Police Department,AK0011600,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,67.005066,-160.021086
Alaska,MATANUSKA-SUSITNA,Palmer Police Department,AK0011700,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,61.602676,-149.11183
Alaska,NORTH SLOPE,North Slope Borough Police Department,AK0011800,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,69.449343,-153.47283
Alaska,KENAI PENINSULA,Seldovia Police Department,AK0011900,Pacific,West,Region IV,City,FALSE,,60.366668,-152.322283
Alaska,KENAI PENINSULA,Soldotna Police Department,AK0012000,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,60.481678,-151.07265
Alaska,HAINES,Haines Police Department,AK0012100,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,59.098771,-135.576936
Alaska,KENAI PENINSULA,Homer Police Department,AK0012200,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,59.64873,-151.52992
Alaska,KENAI PENINSULA,Kenai Police Department,AK0012300,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,60.559402,-151.2507
Alaska,NOT SPECIFIED,Metlakatla Tribal Police Department,AK0012500,Pacific,West,Region IV,Tribal,TRUE,2021-01-01T00:00:00.000Z,55.415683,-132.875734
Alaska,NOT SPECIFIED,Fairbanks International Airport,AK0012600,Pacific,West,Region IV,Other,TRUE,2021-01-01T00:00:00.000Z,64.81904,-147.86464
Alaska,NOT SPECIFIED,Anchorage International Airport,AK0012700,Pacific,West,Region IV,Other,TRUE,2021-01-01T00:00:00.000Z,61.17425,-149.284329
Alaska,VALDEZ-CORDOVA,Whittier Police Department,AK0012800,Pacific,West,Region IV,City,FALSE,,61.34984,-145.023141
Alaska,DILLINGHAM,Dillingham Police Department,AK0013000,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,59.824816,-158.602233
Alaska,HOONAH-ANGOON,Hoonah Police Department,AK0013100,Pacific,West,Region IV,City,FALSE,,58.076434,-135.1851
Alaska,FAIRBANKS NORTH STAR,North Pole Police Department,AK0013200,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,64.75503,-147.35081
Alaska,ALEUTIANS WEST,Unalaska Police Department,AK0013300,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,51.959447,178.338813
Alaska,PRINCE OF WALES-HYDER,Klawock Police Department,AK0013500,Pacific,West,Region IV,City,FALSE,,55.415683,-132.875734
Alaska,NOT SPECIFIED,University of Alaska: Fairbanks,AK0014200,Pacific,West,Region IV,University or College,TRUE,2021-01-01T00:00:00.000Z,64.691501,-146.601909
Alaska,NOT SPECIFIED,University of Alaska: Anchorage,AK0014300,Pacific,West,Region IV,University or College,TRUE,2021-01-01T00:00:00.000Z,61.189857,-149.81879
Alaska,PRINCE OF WALES-HYDER,Craig Police Department,AK0014500,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,55.415683,-132.875734
Alaska,BRISTOL BAY,Bristol Bay Borough Police Department,AK0014600,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,58.732389,-156.986661
Alaska,ALEUTIANS WEST,St. Paul Police Department,AK0015000,Pacific,West,Region IV,City,FALSE,,51.959447,178.338813
Alaska,ALEUTIANS EAST,Sand Point Police Department,AK0015200,Pacific,West,Region IV,City,FALSE,,55.245044,-161.997477
Alaska,MATANUSKA-SUSITNA,Wasilla Police Department,AK0015600,Pacific,West,Region IV,City,TRUE,2021-01-01T00:00:00.000Z,62.182174,-149.407974
Alaska,NOT SPECIFIED,State Troopers,AKAST0100,Pacific,West,Region IV,State Police,TRUE,2021-01-01T00:00:00.000Z,62.182174,-149.407974
Alabama,JEFFERSON,Jefferson County Sheriff's Office,AL0010000,East South Central,South,Region III,County,TRUE,2021-01-01T00:00:00.000Z,33.553444,-86.896536
Alabama,JEFFERSON,Bessemer Police Department,AL0010100,East South Central,South,Region III,City,FALSE,,33.396152,-86.95345
Alabama,"JEFFERSON, SHELBY",Birmingham Police Department,AL0010200,East South Central,South,Region III,City,TRUE,2021-02-01T00:00:00.000Z,33.553444,-86.896536
Alabama,JEFFERSON,Mountain Brook Police Department,AL0010300,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,33.50124,-86.75607
Alabama,JEFFERSON,Fairfield Police Department,AL0010400,East South Central,South,Region III,City,FALSE,,33.553444,-86.896536
Alabama,JEFFERSON,Gardendale Police Department,AL0010500,East South Central,South,Region III,City,FALSE,,33.553444,-86.896536
Alabama,"JEFFERSON, SHELBY, ST CLAIR",Leeds Police Department,AL0010600,East South Central,South,Region III,City,FALSE,,33.553444,-86.896536
Alabama,JEFFERSON,Midfield Police Department,AL0010700,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,33.553444,-86.896536
Alabama,JEFFERSON,Tarrant Police Department,AL0010800,East South Central,South,Region III,City,TRUE,2021-02-02T00:00:00.000Z,33.585728,-86.775024
Alabama,"JEFFERSON, SHELBY",Vestavia Hills Police Department,AL0010900,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,33.553444,-86.896536
Alabama,JEFFERSON,Homewood Police Department,AL0011000,East South Central,South,Region III,City,FALSE,,33.479603,-86.791016
Alabama,JEFFERSON,Fultondale Police Department,AL0011100,East South Central,South,Region III,City,TRUE,2006-01-01T00:00:00.000Z,33.553444,-86.896536
Alabama,"JEFFERSON, SHELBY",Hoover Police Department,AL0011200,East South Central,South,Region III,City,TRUE,2006-01-01T00:00:00.000Z,33.38795,-86.80636
Alabama,JEFFERSON,Irondale Police Department,AL0011300,East South Central,South,Region III,City,FALSE,,33.538326,-86.70705
Alabama,JEFFERSON,Pleasant Grove Police Department,AL0011400,East South Central,South,Region III,City,TRUE,2011-01-01T00:00:00.000Z,33.49046,-86.9703
Alabama,JEFFERSON,Brighton Police Department,AL0011800,East South Central,South,Region III,City,FALSE,,33.42912,-86.94988
Alabama,JEFFERSON,Hueytown Police Department,AL0011900,East South Central,South,Region III,City,TRUE,2012-02-01T00:00:00.000Z,33.553444,-86.896536
Alabama,JEFFERSON,Lipscomb Police Department,AL0012000,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,33.553444,-86.896536
Alabama,"JEFFERSON, ST CLAIR",Trussville Police Department,AL0012100,East South Central,South,Region III,City,TRUE,2013-05-01T00:00:00.000Z,33.553444,-86.896536
Alabama,JEFFERSON,Adamsville Police Department,AL0012200,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,33.553444,-86.896536
Alabama,JEFFERSON,Warrior Police Department,AL0012300,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,33.553444,-86.896536
Alabama,JEFFERSON,University of Alabama: Birmingham,AL0012400,East South Central,South,Region III,University or College,TRUE,2010-04-01T00:00:00.000Z,33.49646,-86.80456
Alabama,JEFFERSON,Trafford Police Department,AL0012500,East South Central,South,Region III,City,TRUE,2020-12-01T00:00:00.000Z,33.553444,-86.896536
Alabama,JEFFERSON,Morris Police Department,AL0012600,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,33.553444,-86.896536
Alabama,JEFFERSON,Brookside Police Department,AL0012700,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,33.553444,-86.896536
Alabama,JEFFERSON,Kimberly Police Department,AL0012900,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,33.553444,-86.896536
Alabama,JEFFERSON,Tannehill Ironworks Historic State Park,AL0013200,East South Central,South,Region III,Other State Agency,FALSE,,33.553444,-86.896536
Alabama,JEFFERSON,Jefferson State Community College,AL0013400,East South Central,South,Region III,University or College,TRUE,2020-01-01T00:00:00.000Z,33.64871,-86.7103
Alabama,JEFFERSON,Norfolk Southern Railway,AL001359E,East South Central,South,Region III,Other,FALSE,,,
Alabama,JEFFERSON,Lawson State Community College,AL0014000,East South Central,South,Region III,University or College,TRUE,2020-01-01T00:00:00.000Z,33.553444,-86.896536
Alabama,JEFFERSON,Samford University,AL001419E,East South Central,South,Region III,University or College,FALSE,,,
Alabama,JEFFERSON,Trussville Fire Department Fire and Explosion Investigation Unit,AL0014500,East South Central,South,Region III,Other,FALSE,,33.6301,-86.59608
Alabama,MOBILE,Mobile County Sheriff's Office,AL0020000,East South Central,South,Region III,County,TRUE,2021-01-01T00:00:00.000Z,30.684572,-88.196568
Alabama,MOBILE,Mobile Police Department,AL0020100,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,30.673004,-88.09793
Alabama,MOBILE,Prichard Police Department,AL0020200,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,30.730814,-88.0808
Alabama,MOBILE,Chickasaw Police Department,AL0020300,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,30.684572,-88.196568
Alabama,MOBILE,Citronelle Police Department,AL0020400,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,31.089754,-88.22756
Alabama,MOBILE,Saraland Police Department,AL0020500,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,30.80567,-88.071266
Alabama,MOBILE,Bayou La Batre Police Department,AL0020600,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,30.684572,-88.196568
Alabama,MOBILE,Satsuma Police Department,AL0020700,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,30.684572,-88.196568
Alabama,MOBILE,Mount Vernon Police Department,AL0020800,East South Central,South,Region III,City,TRUE,2020-09-01T00:00:00.000Z,30.684572,-88.196568
Alabama,MOBILE,Creola Police Department,AL0021200,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,30.684572,-88.196568
Alabama,MOBILE,Mobile Regional Airport,AL0021300,East South Central,South,Region III,Other,TRUE,2021-02-01T00:00:00.000Z,30.684572,-88.196568
Alabama,MOBILE,University of South Alabama,AL0021400,East South Central,South,Region III,University or College,TRUE,2020-09-01T00:00:00.000Z,30.69486,-88.17397
Alabama,MOBILE,Dauphin Island Police Department,AL0021500,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,30.684572,-88.196568
Alabama,MOBILE,Bishop State Community College,AL0021700,East South Central,South,Region III,University or College,FALSE,,30.69399,-88.056145
Alabama,MONTGOMERY,Montgomery County Sheriff's Office,AL0030000,East South Central,South,Region III,County,TRUE,2021-06-01T00:00:00.000Z,32.20365,-86.203831
Alabama,MONTGOMERY,Montgomery Police Department,AL0030100,East South Central,South,Region III,City,FALSE,,32.20365,-86.203831
Alabama,MONTGOMERY,Alabama Department of Mental Health,AL0030500,East South Central,South,Region III,Other State Agency,TRUE,2021-01-01T00:00:00.000Z,32.20365,-86.203831
Alabama,MONTGOMERY,Alabama State University,AL0030600,East South Central,South,Region III,University or College,FALSE,,32.20365,-86.203831
Alabama,MONTGOMERY,Auburn University: Montgomery,AL0030700,East South Central,South,Region III,University or College,TRUE,2020-01-01T00:00:00.000Z,32.20365,-86.203831
Alabama,MONTGOMERY,Alabama Public Service Commission Enforcement Division,AL0030800,East South Central,South,Region III,Other State Agency,FALSE,,32.20365,-86.203831
Alabama,MONTGOMERY,State Fire Marshal,AL0031400,East South Central,South,Region III,Other State Agency,FALSE,,32.20365,-86.203831
Alabama,MONTGOMERY,"Department of Conservation, Montgomery",AL0032500,East South Central,South,Region III,Other State Agency,TRUE,2020-12-01T00:00:00.000Z,,
Alabama,NOT SPECIFIED,Alabama Drug Enforcement Task Force,AL0033100,East South Central,South,Region III,Other State Agency,TRUE,2021-03-01T00:00:00.000Z,,
Alabama,MONTGOMERY,Department of Corrections Investigations and Intelligence Division,AL0033200,East South Central,South,Region III,Other State Agency,TRUE,2021-01-01T00:00:00.000Z,,
Alabama,AUTAUGA,Autauga County Sheriff's Office,AL0040000,East South Central,South,Region III,County,TRUE,2021-01-01T00:00:00.000Z,32.4632,-86.47712
Alabama,"AUTAUGA, ELMORE",Prattville Police Department,AL0040100,East South Central,South,Region III,City,TRUE,2021-05-01T00:00:00.000Z,32.459705,-86.47263
Alabama,AUTAUGA,Autaugaville Police Department,AL0040200,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,32.536382,-86.64449
Alabama,BALDWIN,Baldwin County Sheriff's Office,AL0050000,East South Central,South,Region III,County,FALSE,,30.884958,-87.775055
Alabama,BALDWIN,Bay Minette Police Department,AL0050100,East South Central,South,Region III,City,TRUE,2010-06-01T00:00:00.000Z,30.659218,-87.746067
Alabama,BALDWIN,Fairhope Police Department,AL0050200,East South Central,South,Region III,City,TRUE,2015-11-01T00:00:00.000Z,30.659218,-87.746067
Alabama,BALDWIN,Foley Police Department,AL0050300,East South Central,South,Region III,City,TRUE,2013-01-01T00:00:00.000Z,30.659218,-87.746067
Alabama,BALDWIN,Gulf Shores Police Department,AL0050400,East South Central,South,Region III,City,TRUE,2021-02-01T00:00:00.000Z,30.659218,-87.746067
Alabama,BALDWIN,Robertsdale Police Department,AL0050500,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,30.659218,-87.746067
Alabama,BALDWIN,Loxley Police Department,AL0050600,East South Central,South,Region III,City,FALSE,,30.659218,-87.746067
Alabama,BALDWIN,Silverhill Police Department,AL0050700,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,30.659218,-87.746067
Alabama,BALDWIN,Daphne Police Department,AL0050800,East South Central,South,Region III,City,TRUE,2007-11-01T00:00:00.000Z,30.599625,-87.898056
Alabama,BALDWIN,Summerdale Police Department,AL0050900,East South Central,South,Region III,City,FALSE,,30.659218,-87.746067
Alabama,BALDWIN,Elberta Police Department,AL0051000,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,30.659218,-87.746067
Alabama,BALDWIN,Faulkner State Community College,AL0051100,East South Central,South,Region III,University or College,TRUE,2020-01-01T00:00:00.000Z,30.659218,-87.746067
Alabama,BALDWIN,Orange Beach Police Department,AL0051200,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,30.659218,-87.746067
Alabama,BALDWIN,Spanish Fort Police Department,AL0051300,East South Central,South,Region III,City,TRUE,2013-08-01T00:00:00.000Z,30.659218,-87.746067
Alabama,BARBOUR,Barbour County Sheriff's Office,AL0060000,East South Central,South,Region III,County,TRUE,2020-01-01T00:00:00.000Z,31.886034,-85.4849
Alabama,BARBOUR,Eufaula Police Department,AL0060100,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,31.870253,-85.405104
Alabama,BARBOUR,Clayton Police Department,AL0060200,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,31.870253,-85.405104
Alabama,BARBOUR,Clio Police Department,AL0060300,East South Central,South,Region III,City,FALSE,,31.870253,-85.405104
Alabama,BARBOUR,Louisville Police Department,AL0060400,East South Central,South,Region III,City,TRUE,2021-05-01T00:00:00.000Z,31.870253,-85.405104
Alabama,BARBOUR,Baker Hill Police Department,AL0060700,East South Central,South,Region III,City,FALSE,,31.870253,-85.405104
Alabama,BIBB,Bibb County Sheriff's Office,AL0070000,East South Central,South,Region III,County,TRUE,2021-01-01T00:00:00.000Z,32.939995,-87.11683
Alabama,BIBB,Centreville Police Department,AL0070100,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,33.015893,-87.127148
Alabama,BIBB,Brent Police Department,AL0070200,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,33.015893,-87.127148
Alabama,BIBB,West Blocton Police Department,AL0070300,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,33.015893,-87.127148
Alabama,"BIBB, TUSCALOOSA",Woodstock Police Department,AL0070400,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,33.015893,-87.127148
Alabama,BLOUNT,Blount County Sheriff's Office,AL0080000,East South Central,South,Region III,County,TRUE,2006-01-01T00:00:00.000Z,33.929085,-86.4896
Alabama,BLOUNT,Oneonta Police Department,AL0080100,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,33.943935,-86.47508
Alabama,BLOUNT,Blountsville Police Department,AL0080200,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,33.977448,-86.567246
Alabama,BLOUNT,Cleveland Police Department,AL0080300,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,33.977448,-86.567246
Alabama,BLOUNT,Snead Police Department,AL0080400,East South Central,South,Region III,City,TRUE,2021-07-01T00:00:00.000Z,33.977448,-86.567246
Alabama,BLOUNT,Highland Lake Police Department,AL0080500,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,33.885117,-86.41327
Alabama,BLOUNT,Hayden,AL0080800,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,,
Alabama,BULLOCK,Bullock County Sheriff's Office,AL0090000,East South Central,South,Region III,County,TRUE,2021-06-01T00:00:00.000Z,32.14111,-85.71614
Alabama,BULLOCK,Union Springs Police Department,AL0090100,East South Central,South,Region III,City,TRUE,2021-02-01T00:00:00.000Z,32.13935,-85.716125
Alabama,BUTLER,Butler County Sheriff's Office,AL0100000,East South Central,South,Region III,County,FALSE,,31.751667,-86.681969
Alabama,BUTLER,Greenville Police Department,AL0100100,East South Central,South,Region III,City,FALSE,,31.751667,-86.681969
Alabama,BUTLER,Georgiana Police Department,AL0100200,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,31.751667,-86.681969
Alabama,"BUTLER, CONECUH",McKenzie Police Department,AL0100300,East South Central,South,Region III,City,FALSE,,31.751667,-86.681969
Alabama,CALHOUN,Calhoun County Sheriff's Office,AL0110000,East South Central,South,Region III,County,TRUE,2021-02-01T00:00:00.000Z,33.771706,-85.822513
Alabama,CALHOUN,Anniston Police Department,AL0110100,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,33.771706,-85.822513
Alabama,CALHOUN,Jacksonville Police Department,AL0110200,East South Central,South,Region III,City,TRUE,2021-02-01T00:00:00.000Z,33.813366,-85.76122
Alabama,CALHOUN,Piedmont Police Department,AL0110300,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,33.771706,-85.822513
Alabama,CALHOUN,Weaver Police Department,AL0110400,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,33.771706,-85.822513
Alabama,"CALHOUN, TALLADEGA",Oxford Police Department,AL0110500,East South Central,South,Region III,City,TRUE,2006-01-01T00:00:00.000Z,33.771706,-85.822513
Alabama,CALHOUN,Hobson City Police Department,AL0110600,East South Central,South,Region III,City,FALSE,,33.62035,-85.845985
Alabama,CALHOUN,Ohatchee Police Department,AL0110700,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,33.771706,-85.822513
Alabama,CALHOUN,Jacksonville State University,AL0110800,East South Central,South,Region III,University or College,FALSE,,33.798615,-85.761284
Alabama,CHAMBERS,Chambers County Sheriff's Office,AL0120000,East South Central,South,Region III,County,TRUE,2021-01-01T00:00:00.000Z,32.89985,-85.40123
Alabama,CHAMBERS,Lafayette Police Department,AL0120100,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,32.915504,-85.394032
Alabama,CHAMBERS,Lanett Police Department,AL0120200,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,32.915504,-85.394032
Alabama,CHAMBERS,Valley Police Department,AL0120400,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,32.915504,-85.394032
Alabama,CHEROKEE,Cherokee County Sheriff's Office,AL0130000,East South Central,South,Region III,County,TRUE,2021-01-01T00:00:00.000Z,34.163456,-85.66378
Alabama,CHEROKEE,Centre Police Department,AL0130100,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,34.1512,-85.67609
Alabama,CHEROKEE,Cedar Bluff Police Department,AL0130200,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,34.069515,-85.654242
Alabama,CHEROKEE,Leesburg Police Department,AL0130300,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,34.069515,-85.654242
Alabama,CHILTON,Chilton County Sheriff's Office,AL0140000,East South Central,South,Region III,County,FALSE,,32.84005,-86.62905
Alabama,CHILTON,Clanton Police Department,AL0140100,East South Central,South,Region III,City,TRUE,2010-02-01T00:00:00.000Z,32.854051,-86.726607
Alabama,CHILTON,Maplesville Police Department,AL0140200,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,32.854051,-86.726607
Alabama,CHILTON,Jemison Police Department,AL0140300,East South Central,South,Region III,City,FALSE,,32.854051,-86.726607
Alabama,CHILTON,Thorsby Police Department,AL0140400,East South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,32.854051,-86.726607
Alabama,CHOCTAW,Choctaw County Sheriff's Office,AL0150000,East South Central,South,Region III,County,TRUE,2020-01-01T00:00:00.000Z,31.990997,-88.248908
Alabama,CHOCTAW,Butler Police Department,AL0150100,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,31.990997,-88.248908
Alabama,CHOCTAW,Gilbertown Police Department,AL0150200,East South Central,South,Region III,City,TRUE,2020-01-01T00:00:00.000Z,31.990997,-88.248908
