State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
New Mexico,BERNALILLO,Bernalillo County Sheriff's Office,NM0010000,4950,1658,3292,6205,1924,4281,236,7,229,11,5,6,259,45,214,73,31,42,3736,297,3439,2672,157,2515,6947,619,6328,301,62,239,13355,1073,12282,35.054002,-106.669064
New Mexico,BERNALILLO,Albuquerque Police Department,NM0010100,46705,13763,32942,66375,16319,50056,931,143,788,2,0,2,2360,320,2040,712,188,524,43564,2848,40716,45052,2523,42529,169366,19361,150005,2641,247,2394,257982,24732,233250,35.089184,-106.65081
New Mexico,BERNALILLO,University of New Mexico,NM0010200,287,9,278,367,9,358,1,0,1,0,0,0,19,0,19,0,0,0,308,4,304,520,0,520,3042,12,3030,39,0,39,3870,16,3854,35.054002,-106.669064
New Mexico,CATRON,Catron County Sheriff's Office,NM0020000,37,12,25,39,12,27,1,0,1,0,0,0,0,0,0,0,0,0,37,2,35,16,3,13,41,1,40,1,0,1,94,6,88,33.901813,-108.392097
New Mexico,CHAVES,Chaves County Sheriff's Office,NM0030000,431,136,295,578,188,390,5,0,5,0,0,0,33,8,25,35,16,19,644,36,608,256,25,231,624,31,593,64,25,39,1524,92,1432,33.361604,-104.469837
New Mexico,CHAVES,Roswell Police Department,NM0030100,2267,685,1582,2941,843,2098,164,16,148,0,0,0,98,18,80,80,29,51,2486,209,2277,856,124,732,10522,1772,8750,252,58,194,13864,2105,11759,33.361604,-104.469837
New Mexico,CHAVES,Dexter Police Department,NM0030200,9,3,6,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,11,1,10,11,1,10,0,0,0,34,2,32,33.361604,-104.469837
New Mexico,CHAVES,New Mexico Military Institute,NM0030400,5,1,4,11,3,8,0,0,0,0,0,0,1,0,1,0,0,0,9,1,8,2,0,2,96,4,92,5,2,3,107,5,102,33.408695,-104.52283
New Mexico,COLFAX,Colfax County Sheriff's Office,NM0040000,71,15,56,74,15,59,2,0,2,0,0,0,1,0,1,0,0,0,70,1,69,13,1,12,56,1,55,1,0,1,139,3,136,36.612962,-104.640126
New Mexico,COLFAX,Raton Police Department,NM0040100,91,44,47,129,57,72,2,1,1,0,0,0,0,0,0,10,4,6,545,247,298,118,48,70,817,375,442,2,0,2,1480,670,810,36.90456,-104.43978
