State,County,Agency Name,Ori,Division Name,Region Name,Region Description,Agency Type Name,NIBRS,NIBRS Start Date,Latitude,Longitude
New Mexico,BERNALILLO,Bernalillo County Sheriff's Office,NM0010000,Mountain,West,Region IV,County,TRUE,2019-01-02T00:00:00.000Z,35.054002,-106.669064
New Mexico,BERNALILLO,Albuquerque Police Department,NM0010100,Mountain,West,Region IV,City,TRUE,2018-01-02T00:00:00.000Z,35.089184,-106.65081
New Mexico,BERNALILLO,University of New Mexico,NM0010200,Mountain,West,Region IV,University or College,TRUE,2020-09-02T00:00:00.000Z,35.054002,-106.669064
New Mexico,CATRON,Catron County Sheriff's Office,NM0020000,Mountain,West,Region IV,County,FALSE,,33.901813,-108.392097
New Mexico,CHAVES,Chaves County Sheriff's Office,NM0030000,Mountain,West,Region IV,County,TRUE,2021-01-02T00:00:00.000Z,33.361604,-104.469837
New Mexico,CHAVES,Roswell Police Department,NM0030100,Mountain,West,Region IV,City,FALSE,,33.361604,-104.469837
New Mexico,CHAVES,Dexter Police Department,NM0030200,Mountain,West,Region IV,City,FALSE,,33.361604,-104.469837
New Mexico,CHAVES,New Mexico Military Institute,NM0030400,Mountain,West,Region IV,University or College,FALSE,,33.408695,-104.52283
New Mexico,COLFAX,Colfax County Sheriff's Office,NM0040000,Mountain,West,Region IV,County,TRUE,2021-01-02T00:00:00.000Z,36.612962,-104.640126
New Mexico,COLFAX,Raton Police Department,NM0040100,Mountain,West,Region IV,City,FALSE,,36.90456,-104.43978
New Mexico,COLFAX,Cimarron Police Department,NM0040200,Mountain,West,Region IV,City,FALSE,,36.612962,-104.640126
New Mexico,COLFAX,Springer Police Department,NM0040300,Mountain,West,Region IV,City,FALSE,,36.612962,-104.640126
New Mexico,COLFAX,Angel Fire Police Department,NM0040500,Mountain,West,Region IV,City,TRUE,2020-09-02T00:00:00.000Z,36.612962,-104.640126
New Mexico,CURRY,Curry County Sheriff's Office,NM0050000,Mountain,West,Region IV,County,FALSE,,34.572984,-103.346055
New Mexico,CURRY,Clovis Police Department,NM0050100,Mountain,West,Region IV,City,FALSE,,34.572984,-103.346055
New Mexico,CURRY,Texico Police Department,NM0050300,Mountain,West,Region IV,City,FALSE,,34.572984,-103.346055
